PATRIC.ID,CDMM_A,CDMM_B,CDMM_C,Comm_A,Comm_B,Comm_C,IEC_A,IEC_B,IEC_C
fig|645463.3.peg.167,84.85,98.18,101.78,78.94,85.32,92.14,71.92,86.07,84.61
fig|645463.3.peg.168,57.99,61.55,71.75,59.54,57.75,64.17,55.35,54.4,52.72
fig|645463.3.peg.169,65.63,70.24,77.36,71.67,69.32,74.89,57.82,64.05,63.42
fig|645463.3.peg.170,53.57,59.16,62.52,71.78,84.3,82.84,47.52,45.67,45.89
fig|645463.3.peg.171,3.38,4.94,5.52,12.61,17.26,20.42,3.25,4.35,4.11
fig|645463.3.peg.172,5.58,5.97,8.01,8.54,10.25,8.27,7.86,8.24,7.33
fig|645463.3.peg.173,0.22,0.4,0.19,0.44,0.83,0.54,0.46,0.38,0.41
fig|645463.3.peg.174,1.66,1.65,2.26,3.61,3.61,3.42,1.19,1.32,1.37
fig|645463.3.peg.175,2.8,3.89,4.2,7.22,6.96,7.54,1.74,2.5,2.28
fig|645463.3.peg.176,4.55,5.23,5.76,7.86,7.88,7.43,2.23,2.85,2.46
fig|645463.3.peg.177,126.1,137.36,150.7,205.83,192.23,178.24,96.12,99.19,97.54
fig|645463.3.peg.178,1.45,1.87,1.52,1.88,2.81,3.83,2.21,1.42,2.08
fig|645463.3.peg.179,1,1.35,1.36,2.47,2.42,2.32,2.33,3.15,3.37
fig|645463.3.peg.180,0.97,0.98,0.75,1.22,1.52,1.19,2.23,2.67,2.44
fig|645463.3.peg.181,2.8,3.21,3.26,4.04,4.73,4.25,3.44,4.31,4.21
fig|645463.3.peg.182,6.85,8.83,7.43,11.14,12.57,13.69,5.71,8.58,8.86
fig|645463.3.peg.183,42.96,44.65,53.84,77.81,86.08,84.35,63.69,74.57,73.12
fig|645463.3.peg.184,43.27,49.13,49.91,59.29,63.95,65.74,58.12,63.42,62.44
fig|645463.3.peg.185,531.32,547.56,564.42,695.22,730.14,742.27,644,724.23,678.33
