reaction	linear_coefficient
rxn01280_c	[0.18666063780835418, 0.16199858379570364, 0.18177829422704167]
rxn07721_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn10322_c	[0.0033995006235078722, 0.003338336729199253, 0.012659776491022054]
rxn09320_c	[0.003004925911755533, 0.003162297406847091, 0.003074783873353101]
rxn09114_c	[0.003350463881873911, 0.0032905053166833995, 0.003290480600806283]
rxn08822_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn02821_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn05345_c	[0.0011118796068165632, 0.0011430228269252388, 0.0010883103674460082]
rxn04068_c	[0.001711724399827345, 0.0017031927714408004, 0.0017034636767202305]
rxn01522_c	[0.07844339135824363, 0.09552820672637867, 0.09113063900769677]
rxn03891_c	[0.0398092812867241, 0.03659990650684729, 0.036522025387357424]
rxn01465_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn05145_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01301_c	[0.02875149604826584, 0.015892356638901435, 0.0033044836913129244]
rxn01643_c	[0.0021228347570143922, 0.001960594805804465, 0.0020778620965820173]
rxn00295_c	[0.0033995006235078722, 0.003338336729199253, 0.0032885152547702636]
rxn00499_c	[0.01818008686345605, 0.014854365676572863, 0.015068308058164415]
rxn08844_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00707_c	[0.0033995006235078722, 0.012905112339715455, 0.013795746499841543]
rxn06937_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01637_c	[0.18708315205894446, 0.18265632982175153, 0.17165430545899427]
rxn02489_c	[0.05974955909697131, 0.054022868346256026, 0.05288844450231297]
rxn03095_c	[0.001711724399827345, 0.0017031927714408004, 0.0017034636767202305]
rxn00566_c	[0.033112344885667416, 0.02263165473018152, 0.02785878006058179]
rxn00708_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn02639_c	[0.01408095737965899, 0.015532388276668724, 0.015690831415073714]
rxn03762_c	[0.003233003779820469, 0.003338336729199253, 0.0033044836913129244]
rxn01269_c	[0.08498295403033551, 0.09552820672637867, 0.07544619496724013]
rxn00392_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00747_c	[0.0010052532034962056, 0.0010942051997183371, 0.0009988871228071036]
rxn01334_c	[0.0002086912492794165, 0.00022830870097773323, 0.00020095663218303267]
rxn05219_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00029_c	[0.002905141844477123, 0.002685955711070654, 0.0027264262884685777]
rxn06673_c	[0.0030955868643113447, 0.003338336729199253, 0.0033044836913129244]
rxn07734_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn02175_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn02835_c	[0.058352582155073565, 0.04771701161169177, 0.04808906948235242]
rxn03884_c	[0.12460977302260764, 0.10743033872529778, 0.11718965343579336]
rxn04385_c	[0.08498295403033551, 0.09660071520289394, 0.11250033779384992]
rxn03861_c	[0.0016917675863716633, 0.0015882987599336474, 0.0014037484062271988]
rxn00146_c	[0.00018645365714308523, 0.00020069468962837457, 0.0001773724797507941]
rxn08839_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn03536_c	[0.07844339135824363, 0.07494196126543179, 0.07217241980774003]
rxn02009_c	[0.06927123989401221, 0.043858939740309945, 0.04277624781048168]
rxn09562_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn05359_c	[0.0011118796068165632, 0.0011430228269252388, 0.0010883103674460082]
rxn10277_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00555_c	[0.0010782381212769852, 0.0006247670067792397, 0.0006598649315936745]
rxn03282_c	[0.00010947737667116931, 9.516971768618255e-05, 9.187992718392937e-05]
rxn03080_c	[0.0010782381212769852, 0.0013565383075372444, 0.0013074464504622247]
rxn01044_c	[0.0023879752786398808, 0.0018387972914599723, 0.0019343918359525662]
rxn00143_c	[0.0246928503860503, 0.02263165473018152, 0.022629976931750898]
rxn00147_c	[0.0013787307124525385, 0.0014433252003495144, 0.0014199625110243627]
rxn01505_c	[0.021991268038821135, 0.021798303316245517, 0.022629976931750898]
rxn00737_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn08843_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn04723_c	[0.0021228347570143922, 0.001960594805804465, 0.0020778620965820173]
rxn00213_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01740_c	[0.07844339135824363, 0.07494196126543179, 0.07217241980774003]
rxn02762_c	[0.015889614873413935, 0.01686377810958423, 0.019079087981171985]
rxn05655_c	[0.0014003981099187073, 0.0014507218105323785, 0.001498085015956153]
rxn02314_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn04043_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00139_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn07261_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00790_c	[0.002756891230234915, 0.0028018359372688558, 0.002683680012185145]
rxn10285_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn03910_c	[0.014521717859694479, 0.003338336729199253, 0.013157500374644087]
rxn00422_c	[0.0006477411453044184, 0.0009763525441380384, 0.000895215119407055]
rxn07100_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn03540_c	[0.04514060145274198, 0.04972938268877628, 0.04807285537755525]
rxn08311_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn03175_c	[0.04319680782215857, 0.04771701161169177, 0.046284390484777164]
rxn10264_c	[0.003350463881873911, 0.0032905053166833995, 0.003290480600806283]
rxn03421_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01023_c	[0.12460977302260764, 0.12816846124866613, 0.12684048514566898]
rxn04712_c	[0.01671924811850014, 0.014388379235052437, 0.013991789766934526]
rxn05371_c	[0.0011118796068165632, 0.0011430228269252388, 0.0010883103674460082]
rxn04794_c	[0.0013787307124525385, 0.0013259656521147402, 0.0013167818441333192]
rxn07584_c	[0.04514060145274198, 0.04625741386893996, 0.05288844450231297]
rxn01717_c	[0.05974955909697131, 0.054022868346256026, 0.05288844450231297]
rxn00182_c	[0.0010497283877688682, 0.0008634309620129825, 0.0006637956236657142]
rxn01119_c	[0.002756891230234915, 0.002685955711070654, 0.0025932740945282307]
rxn00532_c	[0.0021228347570143922, 0.001960594805804465, 0.0020778620965820173]
rxn05172_c	[0.002723819939365499, 0.0026548899483026258, 0.00260211815169032]
rxn00132_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn07622_c	[0.0246928503860503, 0.02471207462094838, 0.024648387310743317]
rxn02819_c	[0.00028737811376181943, 0.00036391322099690523, 0.00046775235657273124]
rxn01479_c	[0.03752394104871345, 0.027729891575556866, 0.027882855549523033]
rxn08615_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn08815_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00126_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn06905_c	[0.0246928503860503, 0.02471207462094838, 0.024648387310743317]
rxn02584_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn08306_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn08821_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01871_c	[0.027948661952677267, 0.02263165473018152, 0.022629976931750898]
rxn00405_c	[0.02248505662318172, 0.021798303316245517, 0.02214453646085399]
rxn14301_c	[0.0026542561896056934, 0.0023817084788821845, 0.0024001788464892778]
rxn00299_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01132_c	[0.02578591356875151, 0.02471207462094838, 0.025812363500576092]
rxn04737_c	[0.0021228347570143922, 0.001960594805804465, 0.0020778620965820173]
rxn05735_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn03921_c	[0.0021228347570143922, 0.001960594805804465, 0.0020778620965820173]
rxn02484_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn05671_c	[0.3487669825355075, 0.2363665681109452, 0.20558207407880547]
rxn03618_c	[0.0021228347570143922, 0.001960594805804465, 0.0020778620965820173]
rxn01133_c	[0.027948661952677267, 0.03037393316225796, 0.0321697665905914]
rxn10321_c	[0.0033995006235078722, 0.003338336729199253, 0.012659776491022054]
rxn01000_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00363_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01281_c	[0.18666063780835418, 0.16199858379570364, 0.18177829422704167]
rxn01670_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn03642_c	[0.023755450348303415, 0.02230077970133474, 0.02184580386337897]
rxn02522_c	[0.015889614873413935, 0.01686377810958423, 0.019079087981171985]
rxn05183_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01300_c	[0.0031446236059453057, 0.0029956271240598907, 0.0030561130860109124]
rxn03886_c	[0.08498295403033551, 0.09660071520289394, 0.10147916856035945]
rxn00786_c	[0.0002086912492794165, 0.00022830870097773323, 0.00020095663218303267]
rxn14054_c	[0.00010947737667116931, 9.516971768618255e-05, 9.187992718392937e-05]
rxn03908_c	[0.017522082214088713, 0.015880522062608853, 0.015821526926469032]
rxn01100_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00838_c	[0.0013473700055936096, 0.0013713315279029721, 0.0013384006505295378]
rxn02283_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn05396_c	[0.0011118796068165632, 0.0011430228269252388, 0.0010883103674460082]
rxn00831_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn03721_c	[0.029176291077536783, 0.02471207462094838, 0.026517922727507227]
rxn00748_c	[0.0031412024379243323, 0.0032239358250376235, 0.0031661724640280253]
rxn01255_c	[0.0246928503860503, 0.02471207462094838, 0.027534989301147512]
rxn05872_c	[0.00010947737667116931, 9.516971768618255e-05, 9.187992718392937e-05]
rxn04727_c	[0.0021228347570143922, 0.001960594805804465, 0.0020778620965820173]
rxn00776_c	[0.02248505662318172, 0.021533011564353464, 0.022629976931750898]
rxn05485_c	[0.0014003981099187073, 0.0014507218105323785, 0.001498085015956153]
rxn14089_c	[0.00010947737667116931, 9.516971768618255e-05, 9.187992718392937e-05]
rxn00214_c	[0.0033995006235078722, 0.003338336729199253, 0.0032885152547702636]
rxn10114_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01211_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn05496_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00109_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn00527_c	[0.06315134049915982, 0.054022868346256026, 0.05288844450231297]
rxn01215_c	[0.0022756469286178992, 0.0024112949196136405, 0.0023535018781338053]
rxn03537_c	[0.07844339135824363, 0.07494196126543179, 0.07217241980774003]
rxn10279_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn04270_c	[0.0021228347570143922, 0.001960594805804465, 0.0020778620965820173]
rxn01654_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn10276_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn11838_c	[0.00010947737667116931, 9.516971768618255e-05, 9.187992718392937e-05]
rxn01917_c	[1.0, 1.0, 1.0]
rxn01951_c	[0.04236033224103041, 0.043690297028140646, 0.046284390484777164]
rxn10271_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn10282_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01509_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01548_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
rxn01145_c	[0.0033995006235078722, 0.003338336729199253, 0.0033044836913129244]
