reaction	linear_coefficient
rxn00272_c	[0.0008033634948044182, 0.0008171106136812666, 0.0009536298170754889]
rxn05555_c	[0.023501219380352892, 0.02500807259313583, 0.026846740818836572]
rxn09111_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn06078_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn03848_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn05348_c	[0.0009574659346999871, 0.0011493183447626658, 0.0009573779410056003]
rxn00907_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn05458_c	[0.0025707631833741386, 0.0027999584056218082, 0.002704003692437518]
rxn08300_c	[0.012123919864342069, 0.012085356042404374, 0.013190183556337784]
rxn08297_c	[0.012123919864342069, 0.012085356042404374, 0.013190183556337784]
rxn00012_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn01280_c	[0.40877165422996264, 1.0, 1.0]
rxn07721_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn10322_c	[0.01490313944897029, 0.013849286054390123, 0.01618547002277253]
rxn09320_c	[0.0024740011862304095, 0.0025367097752261696, 0.002564787660747665]
rxn09114_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn08822_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn02821_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn05345_c	[0.0009574659346999871, 0.0011493183447626658, 0.0009573779410056003]
rxn04068_c	[0.00034523724906836714, 0.0003179780753843375, 0.00043210514451427263]
rxn01522_c	[0.08390400015290785, 0.07539692529978054, 0.08884124606915504]
rxn03891_c	[0.032743781996415026, 0.03114105419856937, 0.03440188776938972]
rxn01465_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn05145_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn01301_c	[0.002808487102282807, 0.003054450324819256, 0.0032383790756162585]
rxn01643_c	[0.002014680347937028, 0.0018969225633082853, 0.002128398946027551]
rxn00295_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00499_c	[0.013825019665979975, 0.013849286054390123, 0.016365915417693607]
rxn08844_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00707_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn06937_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn01637_c	[0.1455981354799365, 0.14441458649167838, 0.150151986425366]
rxn02489_c	[0.06168875966052068, 0.0631544957502586, 0.07913521142899367]
rxn03095_c	[0.00034523724906836714, 0.0003179780753843375, 0.00043210514451427263]
rxn00566_c	[0.04564538161557892, 0.03798551858885599, 0.03960481923066008]
rxn00708_c	[0.018080158355189398, 0.020558568715554653, 0.02197043158576163]
rxn02639_c	[0.03340498897689718, 0.03114105419856937, 0.03960481923066008]
rxn03762_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn01269_c	[0.06544396136448752, 0.0659965958285217, 0.06964281985284866]
rxn00392_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00747_c	[0.0003249291755937573, 0.0003097686586360328, 0.0003823086408713639]
rxn01334_c	[0.0001911348091727984, 0.00021125565765637568, 0.0001750909321637759]
rxn05219_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00029_c	[0.0022440421189443864, 0.002236792416688102, 0.0022263856144861776]
rxn06673_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn07734_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn02175_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn02835_c	[0.07852654175608689, 0.07554031644565092, 0.06766916488050713]
rxn03884_c	[0.14271498634282057, 0.12580657519552094, 0.12694681572777056]
rxn04385_c	[0.05441369098638105, 0.04489127995752995, 0.04239931334369601]
rxn03861_c	[0.0007699149031991787, 0.0008674617030708691, 0.0005616831432409814]
rxn00146_c	[0.00022159691938471315, 0.00022657990225321127, 0.00020775315498331817]
rxn08839_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn03536_c	[0.05622230411817865, 0.05677523164237592, 0.04722047161037074]
rxn02009_c	[0.032743781996415026, 0.03114105419856937, 0.03566179285618288]
rxn09562_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn05359_c	[0.0009574659346999871, 0.0011493183447626658, 0.0009573779410056003]
rxn10277_c	[0.0005387612433558255, 0.0005461998609872097, 0.0006339683904645586]
rxn00555_c	[0.0007454257557739138, 0.000836813213877198, 0.0005723920687555854]
rxn03282_c	[8.003770134110934e-05, 7.826310633383866e-05, 7.174980094784701e-05]
rxn03080_c	[0.00016186729151821365, 0.00021125565765637568, 0.00019543789064152355]
rxn01044_c	[0.0008744417519655528, 0.0008882588921665745, 0.0009091877761898822]
rxn00143_c	[0.02629059300171842, 0.026791157910867624, 0.03015258612519484]
rxn00147_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn01505_c	[0.023501219380352892, 0.024749202318339287, 0.022604399976226187]
rxn00737_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn08843_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn04723_c	[0.002014680347937028, 0.0018969225633082853, 0.002128398946027551]
rxn00213_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn01740_c	[0.05441369098638105, 0.05677523164237592, 0.05342522305353232]
rxn02762_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn05655_c	[0.0007711094957565086, 0.0008099957858327359, 0.0008320835124847331]
rxn02314_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn04043_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00139_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn07261_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00790_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn10285_c	[0.0005387612433558255, 0.0005461998609872097, 0.0006339683904645586]
rxn03910_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn00422_c	[0.0008033634948044182, 0.0008171106136812666, 0.0009536298170754889]
rxn07100_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
rxn03540_c	[0.014104554324395191, 0.014698139746164834, 0.015898470818981145]
rxn08311_c	[0.01551417354204458, 0.014821828291839291, 0.014288919314136159]
rxn03175_c	[0.05441369098638105, 0.05186983148803888, 0.04722047161037074]
rxn10264_c	[0.00298110572681699, 0.003071142805540809, 0.0032383790756162585]
